"TypeNamespacePrefix","TypeName","QualifiedType","FacetName","FacetValue","Definition"
"aamva_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","enumeration","2","Wearing hearing aid"
"aamva_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","enumeration","3","Accompanied by a waiver/exemption"
"aamva_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","enumeration","4","Driving within an exempt intra city zone"
"aamva_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","enumeration","5","Accompanied by a Skill Performance Evaluation certificate (SPE)"
"aamva_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","enumeration","6","Qualified by operation of 49 CFR 391.64"
"aamva_d20","DriverLicenseMedicalCertificationStatusCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationStatusCodeSimpleType","enumeration","C","The driver is certified."
"aamva_d20","DriverLicenseMedicalCertificationStatusCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationStatusCodeSimpleType","enumeration","N","The driver is not certified."
"aamva_d20","DriverLicenseMedicalSelfCertificationCodeSimpleType","aamva_d20:DriverLicenseMedicalSelfCertificationCodeSimpleType","enumeration","EA","Excepted Intrastate"
"aamva_d20","DriverLicenseMedicalSelfCertificationCodeSimpleType","aamva_d20:DriverLicenseMedicalSelfCertificationCodeSimpleType","enumeration","EI","Excepted Interstate"
"aamva_d20","DriverLicenseMedicalSelfCertificationCodeSimpleType","aamva_d20:DriverLicenseMedicalSelfCertificationCodeSimpleType","enumeration","NA","Non-excepted Intrastate"
"aamva_d20","DriverLicenseMedicalSelfCertificationCodeSimpleType","aamva_d20:DriverLicenseMedicalSelfCertificationCodeSimpleType","enumeration","NI","Non-excepted Interstate"
"aamva_d20","DriverLicensePermitEndorsementCodeSimpleType","aamva_d20:DriverLicensePermitEndorsementCodeSimpleType","enumeration","L","Motorcycle"
"aamva_d20","DriverLicensePermitEndorsementCodeSimpleType","aamva_d20:DriverLicensePermitEndorsementCodeSimpleType","enumeration","N","Tank"
"aamva_d20","DriverLicensePermitEndorsementCodeSimpleType","aamva_d20:DriverLicensePermitEndorsementCodeSimpleType","enumeration","O","Other"
"aamva_d20","DriverLicensePermitEndorsementCodeSimpleType","aamva_d20:DriverLicensePermitEndorsementCodeSimpleType","enumeration","P","Passenger"
"aamva_d20","DriverLicensePermitEndorsementCodeSimpleType","aamva_d20:DriverLicensePermitEndorsementCodeSimpleType","enumeration","S","School and Passenger Bus"
"aamva_d20","DriverLicensePermitEndorsementCodeSimpleType","aamva_d20:DriverLicensePermitEndorsementCodeSimpleType","enumeration","T","Doubles/Triples"
"aamva_d20","DriverLicenseREALIDComplianceCodeSimpleType","aamva_d20:DriverLicenseREALIDComplianceCodeSimpleType","enumeration","F","Fully Compliant"
"aamva_d20","DriverLicenseREALIDComplianceCodeSimpleType","aamva_d20:DriverLicenseREALIDComplianceCodeSimpleType","enumeration","M","Materially Compliant"
"aamva_d20","DriverLicenseREALIDComplianceCodeSimpleType","aamva_d20:DriverLicenseREALIDComplianceCodeSimpleType","enumeration","N","Non-compliant"
"aamva_d20","DriverLicenseWithdrawalActionCodeSimpleType","aamva_d20:DriverLicenseWithdrawalActionCodeSimpleType","enumeration","1","Revoked"
"aamva_d20","DriverLicenseWithdrawalActionCodeSimpleType","aamva_d20:DriverLicenseWithdrawalActionCodeSimpleType","enumeration","2","Barred"
"aamva_d20","DriverLicenseWithdrawalActionCodeSimpleType","aamva_d20:DriverLicenseWithdrawalActionCodeSimpleType","enumeration","3","Suspended"
"aamva_d20","DriverLicenseWithdrawalActionCodeSimpleType","aamva_d20:DriverLicenseWithdrawalActionCodeSimpleType","enumeration","4","Canceled"
"aamva_d20","DriverLicenseWithdrawalActionCodeSimpleType","aamva_d20:DriverLicenseWithdrawalActionCodeSimpleType","enumeration","5","Denied"
"aamva_d20","DriverLicenseWithdrawalActionCodeSimpleType","aamva_d20:DriverLicenseWithdrawalActionCodeSimpleType","enumeration","6","Disqualified"
"aamva_d20","DriverLicenseWithdrawalActionCodeSimpleType","aamva_d20:DriverLicenseWithdrawalActionCodeSimpleType","enumeration","7","Other Withdrawal"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","0","Unknown"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","1","Conviction"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","2","Administrative Adjudication"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","3","Administrative Action"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","4","Repeated Violations"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","5","Withdrawal resulting from point system"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","6","Court Ordered or Requested"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","7","Court Recommended"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","8","NRVC Action or Reciprocity"
"aamva_d20","DriverLicenseWithdrawalBasisCodeSimpleType","aamva_d20:DriverLicenseWithdrawalBasisCodeSimpleType","enumeration","9","Administrative Per Se"
"aamva_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","aamva_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","enumeration","0","Not Defined"
"aamva_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","aamva_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","enumeration","1","Hearing Held; Action Confirmed"
"aamva_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","aamva_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","enumeration","2","Hearing Offered but not Requested"
"aamva_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","aamva_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","enumeration","3","Hearing Requested; not yet Held"
"aamva_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","aamva_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","enumeration","4","Department Action Appealed to Court"
"aamva_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","aamva_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","enumeration","5","Hearing not Applicable"
"aamva_d20","DriverLicenseWithdrawalEligibilityCodeSimpleType","aamva_d20:DriverLicenseWithdrawalEligibilityCodeSimpleType","enumeration","Date","A person will become eligible to apply for reinstatement of those driving privileges withdrawn on a given date."
"aamva_d20","DriverLicenseWithdrawalEligibilityCodeSimpleType","aamva_d20:DriverLicenseWithdrawalEligibilityCodeSimpleType","enumeration","Indefinite","It has not yet been determined when or if a person will be eligible to apply for reinstatement of those driving privileges withdrawn."
"aamva_d20","DriverLicenseWithdrawalEligibilityCodeSimpleType","aamva_d20:DriverLicenseWithdrawalEligibilityCodeSimpleType","enumeration","Permanent","A person will never be eligible to apply for reinstatement of those driving privileges withdrawn."
"aamva_d20","DriverLicenseWithdrawalExtentCodeSimpleType","aamva_d20:DriverLicenseWithdrawalExtentCodeSimpleType","enumeration","1","Commercial"
"aamva_d20","DriverLicenseWithdrawalExtentCodeSimpleType","aamva_d20:DriverLicenseWithdrawalExtentCodeSimpleType","enumeration","2","Permit"
"aamva_d20","DriverLicenseWithdrawalExtentCodeSimpleType","aamva_d20:DriverLicenseWithdrawalExtentCodeSimpleType","enumeration","3","All"
"aamva_d20","DriverLicenseWithdrawalExtentCodeSimpleType","aamva_d20:DriverLicenseWithdrawalExtentCodeSimpleType","enumeration","4","Non-CDL"
"aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","enumeration","H","Hazardous Material"
"aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","enumeration","L","Motorcycle"
"aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","enumeration","N","Tank"
"aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","enumeration","O","Other"
"aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","enumeration","P","Passenger"
"aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","enumeration","S","School and Passenger Bus"
"aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","enumeration","T","Doubles/Triples"
"aamva_d20","DrivingEndorsementCodeSimpleType","aamva_d20:DrivingEndorsementCodeSimpleType","enumeration","X","Combined Tank/Hazmat"
"aamva_d20","DrivingInsuranceStatusCodeSimpleType","aamva_d20:DrivingInsuranceStatusCodeSimpleType","enumeration","N","No insurance"
"aamva_d20","DrivingInsuranceStatusCodeSimpleType","aamva_d20:DrivingInsuranceStatusCodeSimpleType","enumeration","O","Insured owner"
"aamva_d20","DrivingInsuranceStatusCodeSimpleType","aamva_d20:DrivingInsuranceStatusCodeSimpleType","enumeration","P","Insured non-owner"
"aamva_d20","DrivingOffenseCodeSimpleType","aamva_d20:DrivingOffenseCodeSimpleType","enumeration","A04","Driving under the influence of alcohol with BAC at or over .04"
"aamva_d20","DrivingOffenseCodeSimpleType","aamva_d20:DrivingOffenseCodeSimpleType","enumeration","A08","Driving under the influence of alcohol with BAC at or over .08"
